frame_number,time_s,accumulated_signal_DN,ramp_to_ramp_std_DN,fractional_deviation,initial_linear_model_DN
1.000000000000000000e+00,5.825422222222221835e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.328957098765441325e+00
2.000000000000000000e+00,1.165084444444444367e+00,2.101588888888898055e+00,1.922612192498409867e+00,0.000000000000000000e+00,2.101588888888898055e+00
3.000000000000000000e+00,1.747626666666666662e+00,2.283427777777774281e+00,1.591401902610516172e+00,2.055489008024219411e-01,2.874220679012354562e+00
4.000000000000000000e+00,2.330168888888888734e+00,3.464744444444448845e+00,2.097616126018237992e+00,4.993567089225203759e-02,3.646852469135811514e+00
5.000000000000000000e+00,2.912711111111110807e+00,4.572783333333319433e+00,1.998516720205181896e+00,3.468709584220674991e-02,4.419484259259268910e+00
6.000000000000000000e+00,3.495253333333333323e+00,5.158422222222242226e+00,3.400029535314306628e+00,6.489421045295706847e-03,5.192116049382724086e+00
7.000000000000000000e+00,4.077795555555555396e+00,6.249711111111082573e+00,2.974015403622202847e+00,4.777457141063212731e-02,5.964747839506181037e+00
8.000000000000000000e+00,4.660337777777777468e+00,7.363594444444458986e+00,3.172098515138011887e+00,9.294634549919900124e-02,6.737379629629637989e+00
9.000000000000000000e+00,5.242879999999999541e+00,7.544444444444479814e+00,3.684558145850369115e+00,4.584949711370356340e-03,7.510011419753094941e+00
1.000000000000000000e+01,5.825422222222221613e+00,8.113100000000002865e+00,3.296105283010954956e+00,2.046969857090774614e-02,8.282643209876551893e+00
1.100000000000000000e+01,6.407964444444443686e+00,9.174261111111121636e+00,3.572030650159718768e+00,1.313997764961438719e-02,9.055275000000008845e+00
1.200000000000000000e+01,6.990506666666666646e+00,9.829833333333340306e+00,3.229110691919807152e+00,1.960278267811865760e-04,9.827906790123464020e+00
1.300000000000000000e+01,7.573048888888888719e+00,1.074546111111109781e+01,3.160373959658711041e+00,1.367124224558047274e-02,1.060053858024692097e+01
1.400000000000000000e+01,8.155591111111110791e+00,1.208649444444444043e+01,2.522165070631122497e+00,6.271989698953506220e-02,1.137317037037037792e+01
1.500000000000000000e+01,8.738133333333331976e+00,1.257436111111107380e+01,2.932559712701706456e+00,3.528453246268048460e-02,1.214580216049383488e+01
1.600000000000000000e+01,9.320675555555554936e+00,1.303175555555557708e+01,2.874423435787513359e+00,8.772085329497025796e-03,1.291843395061729183e+01
1.700000000000000000e+01,9.903217777777777897e+00,1.374102222222222736e+01,2.835644674578913449e+00,3.648838039892021712e-03,1.369106574074074878e+01
1.800000000000000000e+01,1.048575999999999908e+01,1.488752222222223054e+01,3.729509271542855942e+00,2.930265172191415246e-02,1.446369753086420573e+01
1.900000000000000000e+01,1.106830222222222204e+01,1.615450555555557344e+01,3.672501830684920865e+00,6.026229908952851488e-02,1.523632932098766268e+01
2.000000000000000000e+01,1.165084444444444323e+01,1.600896111111111964e+01,3.375986786904729087e+00,0.000000000000000000e+00,1.600896111111111964e+01
2.100000000000000000e+01,1.223338666666666619e+01,1.778750555555552637e+01,4.147552840127246121e+00,5.994142869756724501e-02,1.678159290123457481e+01
2.200000000000000000e+01,1.281592888888888737e+01,1.846302222222220735e+01,3.348587436516271332e+00,5.177087264421165180e-02,1.755422469135803354e+01
2.300000000000000000e+01,1.339847111111111033e+01,1.970612222222223409e+01,3.741162832390982462e+00,7.525926457351994614e-02,1.832685648148148871e+01
2.400000000000000000e+01,1.398101333333333329e+01,1.988394999999999868e+01,3.505337942564020981e+00,4.107239509454863047e-02,1.909948827160494389e+01
2.500000000000000000e+01,1.456355555555555448e+01,2.057986111111108585e+01,3.863155102097968197e+00,3.561477321917538852e-02,1.987212006172840262e+01
2.600000000000000000e+01,1.514609777777777744e+01,2.136067222222223450e+01,4.730192190406629749e+00,3.467808068161204460e-02,2.064475185185185779e+01
2.700000000000000000e+01,1.572863999999999862e+01,2.268066111111113514e+01,4.165638158785688994e+00,5.898374377811288483e-02,2.141738364197531652e+01
2.800000000000000000e+01,1.631118222222222158e+01,2.334706111111108839e+01,4.732335830407062183e+00,5.214262615331954898e-02,2.219001543209877170e+01
2.900000000000000000e+01,1.689372444444444454e+01,2.446830555555553133e+01,4.749485567765225902e+00,6.556989352151831874e-02,2.296264722222223043e+01
3.000000000000000000e+01,1.747626666666666395e+01,2.473915555555555557e+01,4.406952795717603344e+00,4.229470159957737785e-02,2.373527901234568560e+01
3.100000000000000000e+01,1.805880888888888691e+01,2.527571111111112145e+01,4.161046765589959229e+00,3.132867239604220089e-02,2.450791080246914433e+01
3.200000000000000000e+01,1.864135111111110987e+01,2.655896666666663464e+01,4.083455651788335139e+00,5.056948716158582435e-02,2.528054259259259950e+01
3.300000000000000000e+01,1.922389333333333283e+01,2.739158888888889010e+01,4.432188417433575722e+00,5.137241575678208605e-02,2.605317438271605468e+01
3.400000000000000000e+01,1.980643555555555579e+01,2.841641111111110263e+01,4.461562408764799592e+00,5.929383549643474360e-02,2.682580617283951341e+01
3.500000000000000000e+01,2.038897777777777520e+01,2.856522222222221785e+01,3.922588759422791060e+00,3.503039775499861008e-02,2.759843796296296858e+01
3.600000000000000000e+01,2.097151999999999816e+01,3.022511111111111859e+01,4.518454744255476108e+00,6.534971624829166714e-02,2.837106975308642731e+01
3.700000000000000000e+01,2.155406222222222112e+01,2.985970000000003211e+01,3.804176946961271177e+00,2.456786265562649341e-02,2.914370154320988249e+01
3.800000000000000000e+01,2.213660444444444408e+01,3.200005555555554793e+01,4.411754254523473584e+00,6.965165814289431268e-02,2.991633333333334122e+01
3.900000000000000000e+01,2.271914666666666349e+01,3.288177777777778488e+01,4.267448571015311387e+00,7.145280544650667309e-02,3.068896512345679639e+01
4.000000000000000000e+01,2.330168888888888645e+01,3.267568333333335318e+01,3.833920304310272087e+00,3.858947220918218513e-02,3.146159691358025512e+01
4.100000000000000000e+01,2.388423111111110941e+01,3.411559444444444011e+01,4.383940220247049879e+00,5.836546479936588483e-02,3.223422870370371385e+01
4.200000000000000000e+01,2.446677333333333237e+01,3.382776666666663345e+01,4.822841938348121360e+00,2.487077415293681426e-02,3.300686049382716902e+01
4.300000000000000000e+01,2.504931555555555533e+01,3.439133888888886759e+01,4.398196661046438471e+00,1.811296036645715368e-02,3.377949228395062420e+01
4.400000000000000000e+01,2.563185777777777474e+01,3.673404444444440742e+01,4.609905952146887920e+00,6.314866101119109842e-02,3.455212407407408648e+01
4.500000000000000000e+01,2.621439999999999770e+01,3.705252777777781148e+01,4.448335708121424759e+00,4.891107868437982731e-02,3.532475586419754165e+01
4.600000000000000000e+01,2.679694222222222066e+01,3.767020555555558303e+01,4.642942856205137581e+00,4.357151593063579575e-02,3.609738765432099683e+01
4.700000000000000000e+01,2.737948444444444362e+01,3.900319444444443207e+01,4.545657104516003244e+00,5.785662801762914143e-02,3.687001944444445201e+01
4.800000000000000000e+01,2.796202666666666659e+01,3.876049444444444703e+01,4.259909159914281318e+00,2.969618699041065568e-02,3.764265123456790718e+01
4.900000000000000000e+01,2.854456888888888599e+01,4.124244444444443047e+01,4.535778590846312852e+00,7.359470494948339159e-02,3.841528302469136946e+01
5.000000000000000000e+01,2.912711111111110895e+01,4.031228333333334035e+01,4.455204873073162375e+00,2.869171589842922643e-02,3.918791481481482464e+01
5.100000000000000000e+01,2.970965333333333191e+01,4.105471666666667829e+01,4.263698476873750920e+00,2.738125863356399847e-02,3.996054660493827981e+01
5.200000000000000000e+01,3.029219555555555488e+01,4.270456111111113273e+01,4.045540685169058293e+00,4.839746844524150937e-02,4.073317839506173499e+01
5.300000000000000000e+01,3.087473777777777428e+01,4.363180000000002678e+01,4.294139899724997100e+00,5.122149899807681983e-02,4.150581018518519727e+01
5.400000000000000000e+01,3.145727999999999724e+01,4.348666666666665037e+01,3.861253596412443478e+00,2.857779603287236014e-02,4.227844197530865245e+01
5.500000000000000000e+01,3.203982222222222020e+01,4.498243333333334704e+01,4.413690673131940301e+00,4.486205334678605716e-02,4.305107376543210762e+01
5.600000000000000000e+01,3.262236444444444317e+01,4.602346666666664987e+01,3.970804982795169469e+00,5.019568937004748044e-02,4.382370555555556280e+01
5.700000000000000000e+01,3.320490666666666613e+01,4.581914444444444712e+01,3.604950903345031321e+00,2.741945127213241129e-02,4.459633734567901797e+01
5.800000000000000000e+01,3.378744888888888909e+01,4.753923333333332835e+01,4.508280132338636115e+00,4.783587193781313474e-02,4.536896913580248025e+01
5.900000000000000000e+01,3.436999111111111205e+01,4.787830000000002428e+01,3.849781150643024841e+00,3.763846592280417624e-02,4.614160092592593543e+01
6.000000000000000000e+01,3.495253333333332790e+01,4.953467777777780157e+01,4.338177723828121835e+00,5.585607842269912915e-02,4.691423271604939060e+01
6.100000000000000000e+01,3.553507555555555086e+01,4.980617777777780475e+01,4.162270243034551065e+00,4.444228601632271847e-02,4.768686450617284578e+01
6.200000000000000000e+01,3.611761777777777382e+01,5.111073888888890338e+01,4.299591900116340071e+00,5.471048597744565534e-02,4.845949629629630806e+01
6.300000000000000000e+01,3.670015999999999678e+01,5.101457777777775959e+01,3.970096812825155030e+00,3.620501003387799344e-02,4.923212808641976324e+01
6.400000000000000000e+01,3.728270222222221975e+01,5.108650000000000091e+01,3.661642749507656003e+00,2.163274308540819035e-02,5.000475987654321841e+01
6.500000000000000000e+01,3.786524444444444271e+01,5.298043333333336591e+01,3.983217145955862737e+00,4.338627082558277337e-02,5.077739166666667359e+01
6.600000000000000000e+01,3.844778666666666567e+01,5.514642777777780225e+01,4.787577663854264642e+00,6.976532850663441643e-02,5.155002345679012876e+01
6.700000000000000000e+01,3.903032888888888863e+01,5.467507777777777278e+01,4.168493138332992842e+00,4.495992261407533164e-02,5.232265524691359104e+01
6.800000000000000000e+01,3.961287111111111159e+01,5.505269444444442684e+01,4.284101050826191859e+00,3.686593512606828327e-02,5.309528703703704622e+01
6.900000000000000000e+01,4.019541333333332744e+01,5.568857777777776619e+01,4.540042493597488793e+00,3.379857604038849495e-02,5.386791882716050139e+01
7.000000000000000000e+01,4.077795555555555040e+01,5.654424444444444475e+01,4.249926170816990201e+00,3.484031192318015613e-02,5.464055061728395657e+01
7.100000000000000000e+01,4.136049777777777336e+01,5.834266666666664491e+01,5.239430939855961533e+00,5.286619775275025468e-02,5.541318240740741885e+01
7.200000000000000000e+01,4.194303999999999633e+01,5.911517222222221335e+01,4.454780634471616096e+00,5.213696849515581100e-02,5.618581419753087403e+01
7.300000000000000000e+01,4.252558222222221929e+01,5.974130000000002383e+01,4.290848045043899717e+00,4.885761828805645912e-02,5.695844598765432920e+01
7.400000000000000000e+01,4.310812444444444225e+01,6.008238333333335390e+01,4.800545284470551621e+00,4.072859274525186812e-02,5.773107777777778438e+01
7.500000000000000000e+01,4.369066666666666521e+01,6.105910000000002924e+01,4.359200656549518271e+00,4.367911797341550439e-02,5.850370956790123955e+01
7.600000000000000000e+01,4.427320888888888817e+01,6.251694999999998004e+01,4.340073453301791950e+00,5.466951177708900822e-02,5.927634135802470183e+01
7.700000000000000000e+01,4.485575111111111113e+01,6.379397777777776923e+01,4.979218790724104338e+00,6.236583963542940978e-02,6.004897314814815701e+01
7.800000000000000000e+01,4.543829333333332698e+01,6.370476111111108253e+01,4.316769386277089282e+00,4.740348722736942300e-02,6.082160493827161218e+01
7.900000000000000000e+01,4.602083555555554994e+01,6.522632777777778301e+01,4.562464944314665871e+00,5.896803406134765169e-02,6.159423672839506736e+01
8.000000000000000000e+01,4.660337777777777291e+01,6.540409999999999968e+01,4.230912569756305253e+00,4.869943855814451439e-02,6.236686851851852964e+01
8.100000000000000000e+01,4.718591999999999587e+01,6.598971666666668057e+01,4.614688417361376693e+00,4.514157293124121395e-02,6.313950030864198482e+01
8.200000000000000000e+01,4.776846222222221883e+01,6.684020555555554211e+01,4.305534879092687284e+00,4.581404751550555154e-02,6.391213209876543999e+01
8.300000000000000000e+01,4.835100444444444179e+01,6.730728333333334490e+01,4.826968921125249778e+00,4.054307825795322451e-02,6.468476388888889517e+01
8.400000000000000000e+01,4.893354666666666475e+01,6.868846111111110986e+01,5.084810666942312096e+00,4.936135021232956888e-02,6.545739567901235034e+01
8.500000000000000000e+01,4.951608888888888771e+01,6.909330000000002769e+01,4.445159208799938533e+00,4.323224133039271777e-02,6.623002746913580552e+01
8.600000000000000000e+01,5.009863111111111067e+01,7.014252222222222599e+01,4.708640752451847433e+00,4.686176634890881765e-02,6.700265925925926069e+01
8.700000000000000000e+01,5.068117333333332653e+01,7.082650555555559890e+01,4.191492569325464324e+00,4.501957068616180280e-02,6.777529104938273008e+01
8.800000000000000000e+01,5.126371555555554949e+01,7.164987222222222840e+01,3.997429198276298390e+00,4.525227394532072012e-02,6.854792283950618526e+01
8.900000000000000000e+01,5.184625777777777245e+01,7.193257222222223390e+01,4.705058320271829686e+00,3.768027544713459243e-02,6.932055462962964043e+01
9.000000000000000000e+01,5.242879999999999541e+01,7.325023888888892998e+01,3.747291738545807327e+00,4.504078970286529149e-02,7.009318641975309561e+01
9.100000000000000000e+01,5.301134222222221837e+01,7.491401666666666870e+01,4.510245155571863229e+00,5.712483901337250813e-02,7.086581820987655078e+01
9.200000000000000000e+01,5.359388444444444133e+01,7.457909444444445057e+01,4.151558603983080964e+00,4.104840968005940560e-02,7.163845000000000596e+01
9.300000000000000000e+01,5.417642666666666429e+01,7.578923333333332835e+01,3.904154788289586175e+00,4.665241092518290777e-02,7.241108179012346113e+01
9.400000000000000000e+01,5.475896888888888725e+01,7.660353888888889173e+01,4.460557989758830999e+00,4.672932188514988816e-02,7.318371358024691631e+01
9.500000000000000000e+01,5.534151111111111021e+01,7.758516111111111968e+01,4.323954555683639178e+00,4.906699651757784331e-02,7.395634537037037148e+01
9.600000000000000000e+01,5.592405333333333317e+01,7.829050555555559754e+01,5.168780376110243324e+00,4.765926860490488082e-02,7.472897716049382666e+01
9.700000000000000000e+01,5.650659555555554903e+01,7.805452222222220371e+01,3.875985229861841130e+00,3.381270024688709519e-02,7.550160895061729605e+01
9.800000000000000000e+01,5.708913777777777199e+01,8.033814444444442415e+01,5.270738909357836732e+00,5.328015938588026579e-02,7.627424074074075122e+01
9.900000000000000000e+01,5.767167999999999495e+01,8.055599444444445112e+01,4.218491440665064651e+00,4.554528689239822903e-02,7.704687253086420640e+01
1.000000000000000000e+02,5.825422222222221791e+01,8.105863333333334708e+01,4.316251814057406655e+00,4.162361403620629119e-02,7.781950432098766157e+01
1.010000000000000000e+02,5.883676444444444087e+01,8.225185555555555084e+01,4.479808729020598790e+00,4.656597498852099726e-02,7.859213611111111675e+01
1.020000000000000000e+02,5.941930666666666383e+01,8.240285000000000082e+01,3.492577941557592158e+00,3.827998467211757294e-02,7.936476790123457192e+01
1.030000000000000000e+02,6.000184888888888679e+01,8.278535555555555447e+01,4.405428379545305084e+00,3.304269759682609831e-02,8.013739969135802710e+01
